Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
0.8124182,0.82362103,0.83102834,0.82991576,0.83687973,0.8350568,0.8177568,0.8356888,0.8127727,0.8052844,1.0,0.88951945,0.8368645,0.8471182,0.82647383,0.85393006,0.8646554,0.8523334,0.8361344,0.8512832,0.84253633
0.865954,0.83559036,0.87831026,0.8664189,0.84020406,0.87277067,0.87530684,0.8425335,0.8128443,0.8246337,0.88951945,1.0,0.82515854,0.8990351,0.87615013,0.85526466,0.9130775,0.8877285,0.88960016,0.83742344,0.89754885
0.80715,0.7892926,0.8010365,0.8061491,0.80989933,0.8027383,0.81859547,0.8409292,0.90457916,0.84698945,0.8368645,0.82515854,1.0,0.82454354,0.7835892,0.79870284,0.83595973,0.8219583,0.7869638,0.81313044,0.805845
0.90040404,0.8262255,0.8843523,0.8612873,0.857642,0.8707755,0.89044064,0.8100974,0.8154559,0.8140646,0.8471182,0.8990351,0.82454354,1.0,0.85287154,0.83513355,0.8749894,0.86180335,0.8640227,0.8462312,0.8713371
0.8554561,0.8954886,0.8668264,0.8724227,0.84131587,0.86473584,0.86558825,0.81975293,0.80060333,0.80650413,0.82647383,0.87615013,0.7835892,0.85287154,1.0,0.8490184,0.86526495,0.8736311,0.91948736,0.8447592,0.8673782
0.8327131,0.8530013,0.8434211,0.83746016,0.860809,0.83281505,0.8308826,0.8175011,0.8114535,0.83792686,0.85393006,0.85526466,0.79870284,0.83513355,0.8490184,1.0,0.858635,0.84834164,0.867292,0.83964145,0.8474327
0.8571754,0.84448946,0.8555319,0.8572041,0.828869,0.87694556,0.8601895,0.8369326,0.8276868,0.8182402,0.8646554,0.9130775,0.83595973,0.8749894,0.86526495,0.858635,1.0,0.87472486,0.88531214,0.8477809,0.901001
0.842882,0.83854914,0.847292,0.8505583,0.8453794,0.8516755,0.84634304,0.8351585,0.80233765,0.816699,0.8523334,0.8877285,0.8219583,0.86180335,0.8736311,0.84834164,0.87472486,1.0,0.87326115,0.84626484,0.87096375
0.87376344,0.88584405,0.8799159,0.8637451,0.8515392,0.86806166,0.8701669,0.82037985,0.81552917,0.8156091,0.8361344,0.88960016,0.7869638,0.8640227,0.91948736,0.867292,0.88531214,0.87326115,1.0,0.8469314,0.87173635
0.84697384,0.8629307,0.87624335,0.81152326,0.88371223,0.85085326,0.8463367,0.80966634,0.8023335,0.77570564,0.8512832,0.83742344,0.81313044,0.8462312,0.8447592,0.83964145,0.8477809,0.84626484,0.8469314,1.0,0.8472505
0.8525826,0.8365537,0.8602323,0.8626819,0.8194733,0.88992363,0.86325634,0.83465344,0.80085546,0.8340239,0.84253633,0.89754885,0.805845,0.8713371,0.8673782,0.8474327,0.901001,0.87096375,0.87173635,0.8472505,1.0
