Couldn't seem to experience any positive feeling at all,Found it difficult to work up the initiative to do things,Felt that I had nothing to look forward to,Felt down-hearted and blue,Unable to become enthusiastic about anything,Felt I wasn't worth much as a person,Felt that life was meaningless,Aware of dryness of my mouth,"Experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)","Experienced trembling (e.g., in the hands)",Worried about situations in which I might panic and make a fool of myself,Felt I was close to panic,"Aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",Felt scared without any good reason,Found it hard to wind down,Tended to over-react to situations,Felt that I was using a lot of nervous energy,Found myself getting agitated,Found it difficult to relax,Intolerant of anything that kept me from getting on with what I was doing,Felt that I was rather touchy
0.35168788,0.34584525,0.51598436,0.4535483,0.27483815,0.4659733,0.4596394,0.36063433,0.2677447,0.28609744,0.44074252,1.0,0.2915896,0.44418618,0.47666642,0.32066736,0.50126266,0.60102856,0.45928589,0.23748457,0.71406835
0.3258253,0.28972146,0.33884573,0.24654837,0.26876354,0.30774435,0.3895136,0.2864869,0.6819993,0.5350048,0.23473945,0.2915896,1.0,0.30905384,0.20544896,0.20408674,0.38772234,0.3001717,0.23320414,0.25284544,0.30258685
0.5380146,0.32259452,0.57581425,0.41536212,0.4568603,0.46204087,0.53088737,0.2057703,0.32070133,0.21923888,0.3343778,0.44418618,0.30905384,1.0,0.29981446,0.24816427,0.3401688,0.37202048,0.31423613,0.2900724,0.38211802
0.2844199,0.5282185,0.37524757,0.4036017,0.26211622,0.32213748,0.38577187,0.3410989,0.33913267,0.22431874,0.16204445,0.47666642,0.20544896,0.29981446,1.0,0.19035234,0.31505212,0.61233777,0.826416,0.13595149,0.49226078
0.26441973,0.37464082,0.26937577,0.19254513,0.35272586,0.2572737,0.18689623,0.1515695,0.23330392,0.27583173,0.37057742,0.32066736,0.20408674,0.24816427,0.19035234,1.0,0.26182964,0.26924512,0.19374332,0.32768527,0.3636918
0.41998005,0.39896026,0.43478706,0.31812888,0.22741899,0.48952943,0.4549738,0.24604636,0.30603266,0.24542214,0.33107665,0.50126266,0.38772234,0.3401688,0.31505212,0.26182964,1.0,0.45609808,0.3187063,0.2521118,0.6177437
0.29929972,0.4747286,0.4766215,0.4011189,0.33020082,0.39151493,0.43729523,0.34171218,0.26653165,0.27186176,0.39487764,0.60102856,0.3001717,0.37202048,0.61233777,0.26924512,0.45609808,1.0,0.6342847,0.2690398,0.6315717
0.2841188,0.5668522,0.3743249,0.33980462,0.26389116,0.34538597,0.42305207,0.2594324,0.39142483,0.23378912,0.20230068,0.45928589,0.23320414,0.31423613,0.826416,0.19374332,0.3187063,0.6342847,1.0,0.15918492,0.50410306
0.2990818,0.4523845,0.5016469,0.122388475,0.5274124,0.3179748,0.21395381,0.19220227,0.2616762,0.21086614,0.39893642,0.23748457,0.25284544,0.2900724,0.13595149,0.32768527,0.2521118,0.2690398,0.15918492,1.0,0.29394287
0.4784011,0.40925324,0.5984158,0.4733425,0.30287114,0.64064157,0.5575341,0.33897585,0.2571273,0.30646718,0.2927769,0.71406835,0.30258685,0.38211802,0.49226078,0.3636918,0.6177437,0.6315717,0.50410306,0.29394287,1.0
