"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","scale_id","source_table","raw_resp","scale_name","age_range","child_age__for_child_focused_studies_","sample","construct_type","measurement_tool","item_format","primary_language_s_","construct_name","citation_key","doi","title","year","author"
"360emergencymed_azami_2024","S2","Q22","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Respect the patient's beliefs, culture, customs, and practice.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q23","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","In case of going on leave of absence or being absent, the student makes the necessary arrangement.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q24","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Respect patient privacy.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q25","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Follow the rules and regulations of the department and hospital.","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q26","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","The student maintains a professional appearance and dress code in accordance with the policy of the clinical setting.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q27","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Wear the identification badge in a visible position at all times during working hours in the hospital.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q28","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Treat professors, seniors, and people with more experience with respect and dignity.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q29","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","The students' caring attention is accomplished by applying maximum efforts to respond to the patient's needs and requests as quickly as possible.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q30","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Perform her/his duties responsibly and to the highest safety standards.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q31","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Demonstrate professional courtesy and respect when communicating with professors, colleagues, patients, etc.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q32","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","He/she is always punctual and shows up to work on time.","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S2","Q33","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Consciousness and Responsiveness","Demonstrates responsibility and accountability for the care provided.","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q42","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","She/he is open to criticism.","NA","Sometimes (25-50%)","2","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q43","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","In discussion with a colleague, she/he shows a great capacity to accept logical reasoning and strive to maintain a respectful and constructive atmosphere in the discussion (avoid aggressiveness, destructive, and baseless criticism).","NA","Almost Always (>75%)","4","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q44","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","She/he avoids all confrontation, both verbal and physical.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q45","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","She/he seeks to receive feedback on her performance and accepts it when it is given.","NA","Sometimes (25-50%)","2","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q46","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","she/he is always calm and composed in difficult situations. She/he keeps cool and can solve problems quickly and efficiently.","NA","Rarely (<25%)","1","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q47","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","At clinical placement, all diagnostic measures and treatments are performed under the full supervision of qualified professionals.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S4","Q48","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Integrity","She/he knows her/his scientific limitations and asks for advice and help if necessary.","NA","Sometimes (25-50%)","2","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S5","Q49","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Knowledge and accountability","To get scientifically prepared, she/he studies relevant subjects to a sufficient extent.","NA","Sometimes (25-50%)","2","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S5","Q50","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Knowledge and accountability","Report suspicions of impairment or incompetence concerning their colleagues to tackle professional misconduct.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S5","Q51","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Knowledge and accountability","Follows up on the outcomes of all patients cared for and ensures the provision of the necessary information for patients continued after the discharge.","NA","Sometimes (25-50%)","2","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S5","Q52","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Knowledge and accountability","She/he actively participate in presentation of academic conferences and group discussions.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
"360emergencymed_azami_2024","S1","Q1","Clinical Performance (360-degree Evaluation Instrument)","This form is designed to evaluate your performance in clinical settings. Please read the questions carefully and respond according to the scoring system described below to indicate how many times you have used the described behaviors.","Leadership, Management, and Teamwork","The student pay attention to patients as an individual and is concern for the physical, psychological, and social aspects of their disease.","NA","Often (50-75%)","3","360emergencymed_azami_2024","360emergencymed_azami_2024",NA,NA,"Adult (18+)",NA,"Educational","Behavioral","Observational rating","Likert Scale/selected response","fas","Clinical Performance (360-degree Evaluation Instrument)","360emergencymed_azami_2024","10.3352/jeehp.2024.21.7","Development and psychometric evaluation of a 360-degree evaluation instrument to assess medical students’ performance in clinical settings at the emergency medicine department in Iran: a methodological study","2024","Golnaz Azami and Sanaz Aazami and Boshra Ebrahimy and Payam Emami"
